pl_name,pl_rade,pl_radj,pl_bmasse,pl_orbsmax,pl_orbper,discoverymethod,disc_year
"Kepler-1166 b",1.69000000,0.15077170,,,33.24068820000,"Transit",2016
"Kepler-157 c",2.24000000,0.20000000,,0.1100000000,13.54050000000,"Transit",2014
"Kepler-837 b",2.56000000,0.22838790,,,16.56059504000,"Transit",2016
"Kepler-360 c",2.10000000,0.18700000,,0.0750000000,7.18643400000,"Transit",2014
"K2-333 b",6.18000000,0.55134362,,,14.75928700000,"Transit",2021
"HD 27894 c",,,51.48846000,0.1980000000,36.07000000000,"Radial Velocity",2017
"Kepler-1165 c",3.36093385,0.29984295,,,29.96870041000,"Transit",2021
"Kepler-371 c",1.78000000,0.15900000,,0.3130000000,67.96801500000,"Transit",2014
"K2-350 b",1.54000000,0.13738983,,,4.16387300000,"Transit",2021
"NGTS-6 b",14.86313400,1.32600000,425.57437000,0.0167700000,0.88205900000,"Transit",2019
"Kepler-419 b",10.80000000,0.96000000,794.50000000,0.3700000000,69.75460000000,"Transit",2014
"Kepler-1515 b",9.55000000,0.85199393,,,214.31141640000,"Transit",2016
"Kepler-540 b",2.71000000,0.24177001,,,172.70497840000,"Transit",2016
"HATS-26 b",19.61575000,1.75000000,206.58950000,0.0473500000,3.30238810000,"Transit",2016
"Kepler-85 b",1.77800000,0.15862281,1.84000000,,8.30000000000,"Transit",2012
"K2-16 c",2.54000000,0.22660362,,0.1229000000,19.07863000000,"Transit",2015
"TOI-7510 c",10.81000000,0.96400000,131.00000000,0.1595000000,22.56874230000,"Transit",2025
"Kepler-805 b",2.89000000,0.25782853,,,30.86389310000,"Transit",2016
"YZ Cet d",,,1.09000000,0.0285100000,4.65626000000,"Radial Velocity",2017
"Kepler-122 c",5.87000000,0.52400000,,0.1080000000,12.46598800000,"Transit",2014
"WASP-68 b",14.79588000,1.32000000,343.25640000,,5.08430000000,"Transit",2014
"HD 97658 b",2.12000000,0.18913406,8.30000000,,9.48971160000,"Radial Velocity",2010
"Kepler-1379 b",1.30000000,0.11597823,,,0.88184114600,"Transit",2016
"Kepler-1850 b",0.72909663,0.06504576,,,1.38580000400,"Transit",2021
"Kepler-1943 b",1.54869189,0.13816527,,,4.85018014900,"Transit",2021
"Kepler-519 b",2.10000000,0.18734945,,,24.30789460000,"Transit",2016
"Kepler-661 b",3.07000000,0.27388706,,,6.02930132100,"Transit",2016
"Kepler-1813 b",1.41300000,0.12605963,,,2.81816005700,"Transit",2021
"Kepler-237 b",1.41000000,0.12600000,,0.0500000000,4.71510600000,"Transit",2014
"Kepler-177 b",3.50000000,0.31224909,5.84000000,,36.86010000000,"Transit",2013
"K2-237 b",16.06246934,1.43300000,434.15360396,0.0355200000,2.18053332000,"Transit",2018
"TIC 139702105 b",2.45316949,0.21885750,,,6.83601903383,"Transit",2026
"Kepler-696 b",6.14000000,0.54777411,,,4.19042557500,"Transit",2016
"Kepler-1846 b",1.76378826,0.15735492,,,14.82009983000,"Transit",2021
"Kepler-1456 b",1.14000000,0.10170399,,,18.13738290000,"Transit",2016
"Kepler-137 b",1.47000000,0.13100000,,0.0770000000,8.43638700000,"Transit",2014
"K2-11 b",7.55000000,0.67356588,,0.2257000000,39.93767000000,"Transit",2015
"Kepler-248 b",3.02000000,0.26900000,,0.0660000000,6.30820500000,"Transit",2014
"CoRoT-11 b",16.03000000,1.43000000,740.51000000,0.0436000000,2.99433000000,"Transit",2010
"Kepler-55 d",1.59000000,0.14200000,,0.0290000000,2.21109900000,"Transit",2014
"K2-73 c",,,1142.00000000,,1000.00000000000,"Radial Velocity",2025
"WASP-160 B b",12.21781000,1.09000000,88.35674000,0.0452000000,3.76849520000,"Transit",2018
"TOI-6034 b",11.92000000,1.06300000,254.00000000,0.0294900000,2.57618400000,"Transit",2024
"HIP 75092 b",,,568.91284853,2.0200000000,926.40000000000,"Radial Velocity",2021
"TOI-139 b",2.45660000,0.21916355,,,11.07085000000,"Transit",2023
"TOI-269 b",2.77000000,0.24712327,8.80000000,0.0345000000,3.69771040000,"Transit",2021
"Kepler-31 d",3.90000000,0.34793470,2161.24400000,0.4000000000,87.64510000000,"Transit",2014
"Kepler-109 c",2.65000000,0.23641757,8.20000000,0.1546000000,21.22265000000,"Transit",2014
"Kepler-1397 b",1.72000000,0.15344812,,,47.44995500000,"Transit",2016
"WTS-2 b",15.27786700,1.36300000,355.96960000,0.0185500000,1.01870680000,"Transit",2014
"TIC 160113658 b",3.49015778,0.31137156,,,6.72952262077,"Transit",2026
"HAT-P-44 b",13.92200000,1.24200000,111.87100000,0.0507000000,4.30121900000,"Transit",2014
"K2-75 b",2.67000000,0.23820145,,0.0810000000,7.81420000000,"Transit",2016
"Kepler-1945 b",1.28900000,0.11499708,,,6.08003997800,"Transit",2021
"TOI-1789 b",16.14093221,1.44000000,222.47988490,0.0488200000,3.20866400000,"Transit",2021
"Kepler-1092 b",2.07000000,0.18467303,,,58.60179250000,"Transit",2016
"K2-186 b",3.17207779,0.28299383,,,41.47421900000,"Transit",2018
"Kepler-1497 b",1.66000000,0.14809528,,,8.74199772000,"Transit",2016
"HD 154088 b",,,6.60000000,0.1340000000,18.56000000000,"Radial Velocity",2021
"KMT-2021-BLG-1391L b",,,4.55000000,2.2900000000,,"Microlensing",2022
"Kepler-1193 b",1.32000000,0.11776251,,,2.83265213400,"Transit",2016
"OGLE-2012-BLG-0358L b",,,588.00000000,0.8700000000,,"Microlensing",2013
"Kepler-15 b",10.76000000,0.96000000,209.76000000,0.0571400000,4.94278200000,"Transit",2011
"KMT-2021-BLG-0240L b",,,66.74396547,2.8000000000,,"Microlensing",2022
"TOI-3464 b",13.76462830,1.22800000,397.28550875,0.0515000000,3.65155680000,"Transit",2025
"HD 33844 c",,,556.20250000,2.2400000000,916.00000000000,"Radial Velocity",2015
"HAT-P-2 c",,,3400.76395490,,8500.00000000000,"Radial Velocity",2023
"Kepler-201 c",2.85000000,0.25400000,,0.5730000000,151.88405800000,"Transit",2014
"Kepler-29 b",2.55000000,0.22749576,5.00000000,,10.33974000000,"Transit",2011
"Kepler-233 c",2.71000000,0.24200000,,0.2870000000,60.41895500000,"Transit",2014
"K2-254 c",2.19000000,0.19537871,,0.0923000000,12.11839000000,"Transit",2018
"TOI-4137 b",13.57407563,1.21100000,457.67290608,0.0522200000,3.80161220000,"Transit",2022
"Kepler-918 b",1.74000000,0.15523240,,,4.85386933000,"Transit",2016
"Kepler-46 b",9.05700000,0.80800000,1907.00000000,0.1968000000,33.60134000000,"Transit",2012
"Kepler-46 c",,,119.49900000,0.2799000000,57.01100000000,"Transit Timing Variations",2012
